City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Saint George,US,2021-12-19 20:19:55,clear sky,37.1041,-113.5841,55.35,38,1,1.01
59,Thompson,CA,2021-12-19 20:23:32,light snow,55.7435,-97.8558,-3.84,77,90,6.91
60,Luderitz,NA,2021-12-19 20:23:32,clear sky,-26.6481,15.1594,59.97,93,5,1.59
61,Coihaique,CL,2021-12-19 20:23:33,clear sky,-45.5752,-72.0662,75.81,35,0,6.91
62,Onhaye,BE,2021-12-19 20:23:33,mist,50.2426,4.8433,41.67,95,75,8.05
63,Hambantota,LK,2021-12-19 20:23:34,broken clouds,6.1241,81.1185,75.78,82,63,12.44
64,Okhotsk,RU,2021-12-19 20:23:34,light snow,59.3833,143.3,1.74,98,100,13.82
65,Sterling,US,2021-12-19 20:19:00,scattered clouds,39.0062,-77.4286,45.81,55,40,3.0
66,Port Lincoln,AU,2021-12-19 20:23:34,few clouds,-34.7333,135.8667,55.6,76,14,6.42
67,Teahupoo,PF,2021-12-19 20:23:35,light rain,-17.8333,-149.2667,76.96,77,32,14.45
68,San Patricio,US,2021-12-19 20:23:35,overcast clouds,28.017,-97.5169,54.88,46,100,10.2
69,Daru,PG,2021-12-19 20:23:35,overcast clouds,-9.0763,143.2092,79.09,83,100,5.93
70,Ilulissat,GL,2021-12-19 20:23:36,overcast clouds,69.2167,-51.1,35.62,44,100,10.36
71,Cockeysville,US,2021-12-19 20:19:31,overcast clouds,39.4812,-76.6439,43.95,62,96,1.99
72,Cape Town,ZA,2021-12-19 20:19:07,clear sky,-33.9258,18.4232,75.11,73,0,4.0
73,Danielskuil,ZA,2021-12-19 20:23:38,broken clouds,-28.1887,23.5395,66.74,61,71,13.85
74,Vostok,RU,2021-12-19 20:23:39,overcast clouds,46.4856,135.8833,-6.95,98,96,4.83
75,Majalgaon,IN,2021-12-19 20:23:39,clear sky,19.15,76.2333,61.09,57,0,5.77
76,Nikolskoye,RU,2021-12-19 20:23:39,light snow,59.7035,30.7861,23.4,92,100,12.35
77,Severo-Kurilsk,RU,2021-12-19 20:23:40,light snow,50.6789,156.125,28.06,89,100,14.83
78,Linxia,CN,2021-12-19 20:23:40,overcast clouds,35.6003,103.2064,27.63,51,100,2.26
79,Qaanaaq,GL,2021-12-19 20:23:41,broken clouds,77.484,-69.3632,14.79,69,65,8.55
80,Charleville,AU,2021-12-19 20:23:41,broken clouds,-26.4,146.25,77.07,47,54,9.22
81,Bathsheba,BB,2021-12-19 20:23:41,few clouds,13.2167,-59.5167,83.01,65,20,27.63
82,Port Alfred,ZA,2021-12-19 20:23:42,scattered clouds,-33.5906,26.891,69.71,85,28,20.04
83,Cherskiy,RU,2021-12-19 20:23:42,light snow,68.75,161.3,-18.67,98,100,20.04
84,Merrill,US,2021-12-19 20:22:34,overcast clouds,45.1805,-89.6835,24.57,82,90,5.75
85,Merauke,ID,2021-12-19 20:24:43,overcast clouds,-8.4667,140.3333,79.03,83,100,5.55
86,La Asuncion,VE,2021-12-19 20:24:43,broken clouds,11.0333,-63.8628,83.93,74,69,14.97
87,Kruisfontein,ZA,2021-12-19 20:24:43,broken clouds,-34.0033,24.7314,65.88,85,69,13.53
88,Stromness,GB,2021-12-19 20:24:44,overcast clouds,58.965,-3.296,43.05,72,98,11.43
89,Ponta Do Sol,PT,2021-12-19 20:24:44,overcast clouds,32.6667,-17.1,69.01,90,98,15.61
90,Campina Verde,BR,2021-12-19 20:24:44,scattered clouds,-19.5356,-49.4864,81.46,69,34,7.14
91,Hilo,US,2021-12-19 20:24:45,light rain,19.7297,-155.09,75.27,40,90,0.0
92,Faanui,PF,2021-12-19 20:24:45,light rain,-16.4833,-151.75,79.75,77,26,8.32
93,Asau,RO,2021-12-19 20:24:45,few clouds,46.4333,26.4,38.32,89,24,6.53
94,Grindavik,IS,2021-12-19 20:24:46,overcast clouds,63.8424,-22.4338,45.07,100,90,12.66
95,Novyy Urengoy,RU,2021-12-19 20:24:15,scattered clouds,66.0833,76.6333,-35.84,98,25,7.2
96,Avarua,CK,2021-12-19 20:24:46,scattered clouds,-21.2078,-159.775,82.45,65,40,9.22
97,Caravelas,BR,2021-12-19 20:24:46,overcast clouds,-17.7125,-39.2481,74.98,90,100,7.76
98,Cayenne,GF,2021-12-19 20:24:47,scattered clouds,4.9333,-52.3333,84.24,82,40,4.0
99,Dikson,RU,2021-12-19 20:24:47,overcast clouds,73.5069,80.5464,-27.67,98,97,1.83
100,Tomatlan,MX,2021-12-19 20:24:47,overcast clouds,19.9333,-105.25,86.77,45,100,5.86
101,Palm Beach,US,2021-12-19 20:24:48,few clouds,26.6503,-80.4498,88.0,76,21,7.11
102,La Ronge,CA,2021-12-19 20:24:48,light snow,55.1001,-105.2842,-3.75,71,75,10.36
103,Vestmannaeyjar,IS,2021-12-19 20:24:49,overcast clouds,63.4427,-20.2734,44.78,93,100,13.04
104,San Ciro De Acosta,MX,2021-12-19 20:24:49,light rain,21.6333,-99.8167,63.59,87,100,3.53
105,Ampanihy,MG,2021-12-19 20:24:49,overcast clouds,-24.7,44.75,65.21,70,100,11.27
106,Guarapari,BR,2021-12-19 20:24:50,overcast clouds,-20.6667,-40.4975,71.49,87,100,9.08
107,Touros,BR,2021-12-19 20:24:50,overcast clouds,-5.1989,-35.4608,85.1,70,98,11.61
108,Khatanga,RU,2021-12-19 20:24:15,overcast clouds,71.9667,102.5,-13.14,98,100,11.36
109,San Jeronimo,PE,2021-12-19 20:24:50,broken clouds,-11.9472,-75.2829,67.15,41,59,7.43
110,Cidreira,BR,2021-12-19 20:24:51,clear sky,-30.1811,-50.2056,73.22,70,0,23.29
111,Nyurba,RU,2021-12-19 20:24:51,overcast clouds,63.2842,118.3319,-35.1,97,100,5.21
112,Bengkulu,ID,2021-12-19 20:24:51,overcast clouds,-3.8004,102.2655,74.77,95,100,5.44
113,San Cristobal,VE,2021-12-19 20:24:52,broken clouds,7.7669,-72.225,77.18,43,51,2.3
114,Faya,SA,2021-12-19 20:24:52,clear sky,18.3851,42.4509,57.31,67,2,2.13
115,Laguna,US,2021-12-19 20:24:52,overcast clouds,38.421,-121.4238,54.21,83,90,1.01
116,Tuy Hoa,VN,2021-12-19 20:24:53,overcast clouds,13.0833,109.3,70.79,84,100,3.33
117,Taitung,TW,2021-12-19 20:24:53,broken clouds,22.7583,121.1444,63.09,81,83,7.76
118,Souillac,MU,2021-12-19 20:24:53,scattered clouds,-20.5167,57.5167,79.36,83,40,5.75
119,Sinnamary,GF,2021-12-19 20:24:54,scattered clouds,5.3833,-52.95,81.72,75,45,8.97
120,Dolores,AR,2021-12-19 20:24:54,scattered clouds,-36.3132,-57.6792,87.12,35,30,16.13
121,Santa Cruz,BO,2021-12-19 20:22:53,scattered clouds,-17.8,-63.1667,86.05,58,40,11.5
122,Whitehorse,CA,2021-12-19 20:20:52,broken clouds,60.7161,-135.0538,-2.18,83,75,3.0
123,Cockburn Town,TC,2021-12-19 20:24:55,broken clouds,21.4612,-71.1419,79.12,71,80,16.69
124,Portland,US,2021-12-19 20:24:55,mist,45.5234,-122.6762,40.21,95,90,5.01
125,Chuy,UY,2021-12-19 20:24:55,few clouds,-33.6971,-53.4616,76.21,60,11,15.88
126,Dunyapur,PK,2021-12-19 20:24:56,scattered clouds,29.7995,71.7196,50.02,15,33,3.47
